iter	MultiClass
0	1.012950168
1	0.9497169305
2	0.8935699853
3	0.8435332206
4	0.7901775417
5	0.7433121335
6	0.7080757935
7	0.6715364252
8	0.6339117195
9	0.6034973172
10	0.5717722202
11	0.5452443693
12	0.5188193537
13	0.4915234039
14	0.4726894448
15	0.4497634688
16	0.4323913414
17	0.4138440827
18	0.4010287689
19	0.3849560134
20	0.3689244612
21	0.3555892726
22	0.3423671782
23	0.3309579175
24	0.3189201023
25	0.3090447432
26	0.2971928575
27	0.2875876596
28	0.2770759154
29	0.2663699557
30	0.2572615224
31	0.2506240911
32	0.244251053
33	0.2378660704
34	0.2297790636
35	0.2216543628
36	0.2145720466
37	0.2091586614
38	0.2033683274
39	0.1968208426
40	0.1916050756
41	0.1861926174
42	0.1818570194
43	0.1772464478
44	0.1726244982
45	0.16911093
46	0.1660042663
47	0.1625769973
48	0.1592575112
49	0.1551793049
50	0.1521727024
51	0.1492506683
52	0.1467338932
53	0.1439109351
54	0.1410430794
55	0.138104653
56	0.1354555312
57	0.1329524836
58	0.1304239996
59	0.128349232
60	0.1260942918
61	0.1239417264
62	0.1217447684
63	0.1194951521
64	0.1172381644
65	0.1152762209
66	0.1137103983
67	0.1116219918
68	0.1102522544
69	0.10830781
70	0.1069427414
71	0.1056644214
72	0.1041234897
73	0.1025538928
74	0.1008333244
75	0.09946820089
76	0.09794829887
77	0.09644341587
78	0.09486900879
79	0.09368424102
80	0.09255210702
81	0.09120922991
82	0.08976602852
83	0.08823160517
84	0.08715569306
85	0.08578774939
86	0.08429010994
87	0.08357987254
88	0.08236073345
89	0.08140800145
90	0.08035597607
91	0.07953153334
92	0.07845980783
93	0.07758045526
94	0.07665095874
95	0.07571695601
96	0.07474360489
97	0.0737393441
98	0.07272537618
99	0.07175245172
100	0.07108315122
101	0.07028285477
102	0.06945135622
103	0.06846598745
104	0.06783862735
105	0.06699382798
106	0.06619922956
107	0.06552759523
108	0.06471917915
109	0.06396749218
110	0.06322653545
111	0.06234993435
112	0.06151370815
113	0.06088288661
114	0.06032073755
115	0.05964687551
116	0.05904171291
117	0.05835142541
118	0.05774736937
119	0.05713878703
120	0.0565366281
121	0.05576771085
122	0.05528856763
123	0.05469524789
124	0.05408568214
125	0.0534795161
126	0.05303863056
127	0.05252105564
128	0.05200655065
129	0.05150270772
130	0.05099797839
131	0.0505285876
132	0.05011538367
133	0.04966460447
134	0.04919654006
135	0.04862351521
136	0.04825135301
137	0.04787121556
138	0.04746147629
139	0.04718578978
140	0.04681339297
141	0.04643507576
142	0.0459904391
143	0.04555574419
144	0.04511712599
145	0.04475118684
146	0.04424776962
147	0.04389995103
148	0.04358331183
149	0.04320080555
150	0.04275350963
151	0.04240059632
152	0.04205488018
153	0.04170789293
154	0.04132947937
155	0.04110696899
156	0.04084826809
157	0.04051865305
158	0.04020389761
159	0.03989171369
160	0.03962185428
161	0.03928214378
162	0.03894125374
163	0.03862131939
164	0.03835169508
165	0.03808489374
166	0.03773481841
167	0.03745906753
168	0.0372147775
169	0.03690760102
170	0.0366283906
171	0.03635970565
172	0.03614077564
173	0.03591375903
174	0.03562544615
175	0.03534859375
176	0.03510231055
177	0.03480244512
178	0.03455670621
179	0.03432801156
180	0.03409940559
181	0.03386816556
182	0.03366054417
183	0.0334307329
184	0.03318904391
185	0.03294820223
186	0.03271982854
187	0.0325127129
188	0.03232217429
189	0.03213259894
190	0.03195433539
191	0.03177050703
192	0.03157678712
193	0.03140820815
194	0.03120268632
195	0.03095080843
